Chicken	Duck
ARL16	ARL16
SF3B3	SF3B3
RHOBTB2	RHOBTB2
LOC770392	LOC101792766
CCDC153	DRC12
MYL12B	LOC113842832
LOC770026	LOC101798037
ADAMDEC1	LOC119713502
ATP5G1	ATP5MC1
LOC771545	LOC101803870
FAM167B	FAM167B
CLCA2	LOC113844368
C2orf40	ECRG4
RPESL	LOC106016000
SSNA1	SSNA1
FOXRED2	FOXRED2
TCFL5	TCFL5
LOC771552	LOC101794571
DRCC1	LOC101793086
SELPLG	SELPLG
ACPP	ACP3
LRRC46	LRRC46
CHDSD	LOC113841941
NCAPG2	NCAPG2
LOC426456	LOC101797781
PITPNC1L	LOC106020158
DDEFL1	LOC101802747
PRICKLE4	PRICKLE4
LOC771995	LOC101794900
TTC25	ODAD4
ABHD8	ABHD8
CNNM4	CNNM4
KCNJ6	KCNJ6
HIST1H2B5L	LOC101799585
C6orf132	C27H6orf132
LOC419888	LOC101793639
ICE1	ICE1
LOC101748254	LOC106017169
C2orf50	CIMIP5
STMN4	STMN4
VCPKMT	VCPKMT
FRMD6	FRMD6
TMEM61	TMEM61
LOC427400	LOC101789852
ZFR2	ZFR
MIER3	MIER3
F2R	F2R
STRIP2	STRIP2
LOC101750972	LOC101791793
C3orf38	C1H3orf38
C11orf97	C1H11orf97
SAMD9L	LOC101793511
OSBPL10	OSBPL10
SLC7A13	SLC7A13
ERICH5	ERICH5
ENPP1	LOC101800212
COL21A1	COL21A1
CXorf65	C10HXorf65
GABRA3	LOC101802458
LOC100857197	LOC101793952
LOC430303	LOC110352716
KIAA1109	BLTP1
BAAT	LOC101797844
EIF2AK4	EIF2AK4
LRRC18	LRRC18
SEC23IP	SEC23IP
TROVE2	RO60
LOC101748539	LOC110351764
FAM196B	INSYN2B
MSLN	LOC101798643
MGRN1	MGRN1
TCTN1	TCTN1
STPG3	STPG3
UTS2R	LOC139999068
SAP30BP	SAP30BP
ABCA8	LOC119713165
SGSH	SGSH
WISP2	CCN5
NMNAT1	NMNAT1
C11orf57	NKAPD1
MFSD12	MFSD12
LOC101749344	SMIM44
C19orf35	PEAK3
TMEM259	TMEM259
LOC101749287	LOC101790890
INPP1	INPP1
AAAS	AAAS
CCDC142	CCDC142
DCAF8	DCAF8
LOC101748569	CLPB
CAPG	CAPG
SGCA	SGCA
LOC107049862	LOC140000874
CFAP73	CFAP73
SEZ6L	SEZ6L
TCHP	TCHP
PGAM5	PGAM5
LHFPL3	LHFPL3
FAM19A5	TAFA5
E2F3	E2F3
OFCC1	LOC110352209
PSMG4	PSMG4
PRDM8	PRDM8
KLHL28	KLHL28
MRPS22	MRPS22
SFT2D3	SFT2D3
RPP25L	RPP25L
NDUFS4	NDUFS4
LOC101749641	LOC101792942
LAMA3	LAMA3
RXFP2	LOC119717855
IGBP1	IGBP1
INPPL1	LOC119717868
GLRA4	LOC101800655
FYTTD1L	LOC101791836
LOC428714	LOC101790642
KLF8	LOC113841513
COL4A5	COL4A5
LOC770883	LOC101796874
CCDC33	CCDC33
SLC28A2	LOC101801200
SHF	SHF
MZT2B	LOC106016306
SPACA9	SPACA9
CCDC137	CCDC137
C17orf58	C19H17orf58
REEP5	REEP5
POLR3G	POLR3G
CCDC112	CCDC112
TMIE	TMIE
LOC426355	LOC113842969
SKIDA1	SKIDA1
LOC420562	LOC101799835
SERPINB1	LOC101799613
OSGIN2	OSGIN2
POLR2K	POLR2K
NPAS4	NPAS4
LOC427873	MGAT4C
CNKSR3	CNKSR3
CCSAP	CCSAP
MEI4	MEI4
CAD	CAD
PRKACA	LOC119715391
ESCO2	ESCO2
MRPL35	MRPL35
LOC416696	LOC101790071
RNF212	RNF212
C11orf16	C5H11orf16
UBR1	UBR1
LOC423222	LOC101792790
LOC776275	LOC101796866
LOC100858131	LOC101801919
ISM2	ISM2
ATG2A	ATG2B
ZBTB42	ZBTB42
LOC423719	LOC106020238
LIPML4	LOC101796123
LIPML5	LOC101793313
FAM45A	DENND10
SFXN3	SFXN3
MRPL43	MRPL43
FRA10AC1	LOC101800677
BAG3	BAG3
YBEY	YBEY
MARCH4	MARCHF4
CATIP	CATIP
LOC100858626	ZFAND2B
LOC429032	LOC119717440
TMEM198	TMEM198
EDEM3	LOC101793431
UROD	UROD
LOC101747338	LOC101790681
LOC101750121	LOC101790358
PIGB	PIGB
CNGB1	CNGB1
TMCO7	TANGO6
UBA7	UBA7
SETMAR	LOC119712998
LOC427595	LOC101799721
LSMEM2	LSMEM2
PWWP2A	PWWP2A
CCNJL	CCNJL
DOK3	DOK3
LOC101751218	MXD3
ACSL6	ACSL6
C5orf24	C14H5orf24
AIMP2	AIMP2
BHLHA15	BHLHA15
RGS11	RGS11
NAGPA	NAGPA
GATSL3	CASTOR1
MTFP1	MTFP1
SHISA6	SHISA6
MRPL58	MRPL58
SPATA20	SPATA20
ABCC3	ABCC3
SPAG5	SPAG5
TGM3	LOC101791292
DBNDD2	DBNDD2
PLCG1	PLCG1
LOC419171	LOC101805309
KLHDC7A	KLHDC7A
FBXO44	LOC101804457
SLC20A1	SLC20A1
HTR1D	HTR1D
LOC419741	LOC106020168
ROBO4	ROBO4
CD2	CD2
SH2D2A	SH2D2A
DAP3	DAP3
PTPRVP	LOC101801831
TEAD3	TEAD3
RNPEP	RNPEP
CCND3	CCND3
TMCC2	TMCC2
OSBPL7	OSBPL7
LRRC3C	LRRC3C
ORMDL3	ORMDL3
PSMC3IP	PSMC3IP
ATP5D	ATP5F1D
LOC107055358	CIST1
LOC420107	LOC119714236
DHH	DHH
KDM6A	KDM6A
STX3	STX3
DDX3X	DDX3X
LRFN3	LOC119715018
BAHCC1	BAHCC1
MSI2	MSI2
MKS1	MKS1
TIGAR	TIGAR
RNF207	RNF207
ADAM32L1	LOC106020033
ADAM32	LOC106020034
ZBTB8A	LOC119713668
TINAGL1	TINAGL1
DCDC2B	DCDC2B
LOC425662	LOC119712978
LAD1	LAD1
SAMD14	SAMD14
CERS4L	LOC101790516
CAMK4L	LOC101804940
REEP6	REEP6
MYORG	MYORG
MAP3K7CL	MAP3K7CL
LOC769729	LOC113841983
LOC112531360	HAUS4
LOC112531540	LOC106014315
LOC112531790	LOC113840926
LOC107055991	ATG9B
ABCB8	ABCB8
LOC101748312	LOC113842964
PTPRN2	PTPRN2
ACBD7	ACBD7
PITX2	PITX2
LOC107056277	LOC113843457
C4H4ORF32	FAM241A
GPR4	GPR68
BATF	BATF
FBXO33	FBXO33
TTC6	TTC6
PRLHR	PRLHR
TIAL1	TIAL1
CCDC141	CCDC141
LOC107052650	SMIM30
CLEC18B	LOC101790017
LOC776594	LOC101796494
ITIH3	LOC101797614
LOC770936	LOC101797129
PRRT3	PRRT3
C14ORF166B	LRRC74B
SXPH	LOC101796956
LOC415787	LOC101790993
C3orf30	TEX55
DOCK3	DOCK3
LOC416263	LOC119718370
KCTD5	KCTD5
PKD1	PKD1
WDR66	CFAP251
LRRC23	LRRC23
LOC107052201	LOC101790661
TTF2	TTF2
CCDC81	CCDC81
QRICH2	QRICH2
SGK494	RSKR
LOC101750367	LOC101798040
PPP4R1L	LOC101805171
TTC34	TTC34
UBR4	UBR4
AGTRAP	AGTRAP
LOC107050638	SORBS3
IDO2	IDO2
E2F2	E2F2
ATP8B2	ATP8B2
ARHGAP23	ARHGAP23
ABI3	ABI3
LOC121107692	LOC101791244
C1QL1	C1QL1
CTXN1	CTXN1
MADCAM1	MADCAM1
MISP	MISP
TMBIM6	TMBIM6
IPO4	IPO4
METTL3	METTL3
LOC107055388	MAP4K1
LOC101750148	LOC106019484
DOCK8	DOCK8
TMEM267	TMEM267
LOC112532885	VAX2
FKBPL	FKBPL
LOC107050721	CHD3
LOC425940	SFTPB
LOC107050614	PFDN6
MRPL30	MRPL30
ART1	LOC101800656
DHRSX	DHRSX
LOC426097	LOC113843203
LOC101752250	LOC101797774
RP1	RP1
LOC121112823	ADGRB1
MRS2	MRS2
INO80C	INO80C
C18orf63	C2H18orf63
COL6A6	LOC101802198
PYCRL	PYCR3
HGH1	HGH1
DNAH5L	LOC101801689
SYNE1	SYNE1
DSE	DSE
LOC421195	LOC101803492
TMEM242	TMEM242
CLCN5	LOC101800121
LOC422270	LOC110351314
AHNAK2	AHNAK2
SLC22A18	SLC67A1
TTC8	TTC8
MUC2	MUC2
BTBD18	BTBD18
NOXRED1	NOXRED1
ANKRD2	ANKRD2
LOC770653	LOC119714792
LOC101750892	DMBT1
C10orf88	C6H10orf88
RAP1GDS1L	LOC101803556
TMEM150B	TMEM150A
PARVB	PARVB
RGS16	LOC101799139
PAPPA2	PAPPA2
IL23R	IL23R
EFHD1	EFHD1
ALPPL	LOC101804710
ARHGEF4	ARHGEF4
TCTEX1D2	DYNLT2B
GP5	GP5
PIAS1	PIAS1
LOXL1	LOXL1
WDR88	WDR88
HTD2	HTD2
SLC6A12	LOC101793562
TPRN	TPRN
CYTH1	CYTH1
OGFOD3	OGFOD3
USP36	USP36
RAB37	RAB37
PRR11	PRR11
LOC101749666	ADIG
FUCA1	FUCA1
ESAM	ESAM
FOXRED1	FOXRED1
RAP1A	RAP1A
ABCA7	ABCA7
LOC426821	LOC101804334
LOC100858941	LOC101797220
CCDC178	CCDC178
PPP4R3B	PPP4R3B
LOC421892	LOC101799581
GPAT3	LOC101797414
LOC422901	LOC101791777
LOC121106448	SLITRK2
LOC107053497	LOC140002650
CLCF1	CLCF1
INCENPL	LOC101803441
ACTBL2	LOC101803316
R3HCC1L	R3HCC1L
GPD1L2	LOC101798440
PARP14	LOC101798744
CDKN2C	CDKN2C
IQGAP3	IQGAP1
CECR5L	LOC101797103
TEX2L	LOC119718444
NDOR1	NDOR1
ENTPD8L1	LOC101796222
DNAI2	DNAI2
SESN4	LOC101794001
ENOPH1	ENOPH1
KIF26A	KIF26A
L2HGDH	L2HGDH
HKDC1	LOC101794283
INPP5F	INPP5F
MAT2L	LOC101790524
LOC427933	LOC101801341
LOC428250	LOC101796692
TMSB4X	TMSB4X
TGFA	TGFA
EPYC	EPYC
MRPS11	MRPS11
E2F4	E2F4
DHODH	DHODH
XBP1	XBP1
WDR5B	WDR5
PHKG1	PHKG1
CHCHD2	CHCHD2
ATP6V1E1	ATP6V1E1
HJURP	HJURP
CKAP2	CKAP2
SDHD	SDHD
SIKE1	SIKE1
MED20	MED20
LSM7	LSM7
PEX11G	PEX11G
HIBADH	HIBADH
LOC421792	TSTD1
CCDC61	CCDC61
IL5	LOC139998677
IL13	LOC106018562
ABHD17C	ABHD17C
HMX3	HMX3
GPR174	GPR174
SUB1	LOC113841554
RAP2C	RAP2C
LOC427517	LOC106015026
EMC1	EMC1
VIT	VIT
POLE3	POLE3
MRPL48	MRPL48
ITGB1BP3	LOC101800436
PLLP	PLLP
KARS	KARS1
HAGHL	LOC101798099
TRIM27.1	LOC101791103
FAM18B1	TVP23B
SMYD4	SMYD4
COPS7A	COPS7A
TNFRSF1A	TNFRSF1A
HSPA13	HSPA13
MAOA	LOC101793000
PLEKHM1	PLEKHM1
RBM48	RBM48
MYBPHL	MYBPH
DKC1	DKC1
SPATA4	SPATA4
EIF2B3	EIF2B3
RRP1B	RRP1B
NCKAP1L	NCKAP1L
C10orf2	TWNK
VPS33B	VPS33B
MTHFD2	MTHFD2
MED24	MED24
ALG10	ALG10
HAUS6	HAUS6
MRPS6	MRPS6
FAM210B	FAM210B
DCLRE1B	DCLRE1B
RFKL	LOC101797712
EPHX2	EPHX2
TAPBP	TAPBP
PROCR	PROCR
MXD1	MXD1
LOC428335	LOC101801206
MRPS26	MRPS26
PTRH2	PTRH2
ZBTB48	ZBTB48
PIGR	PIGR
ERBB2	ERBB2
NPY6R	LOC139998537
CASP18	CASP8
SLC22A5	LOC101799949
CCL5	CCL26
CCR2	LOC101800429
NMB	NMB
CBLN3	CBLN4
FAM26E	CALHM5
DCK2	LOC101804573
TMEM170A	TMEM170A
BIN2	BIN2
WNT3	WNT3
ARR3	ARR3
GCGR	GCGR
HSP90AA1	HSP90AA1
FGR	FGR
SPINK7	LOC101798642
YKT6	YKT6
GALR1L	LOC101795296
WNT11B	LOC119717894
MSRB1	MSRB1
SLC47A2	LOC101793413
TAP1	TAP1
HSBP1L1	HSBP1L1
BEAN1	BEAN1
CNN2	CNN2
NANOG	LOC101795050
SELENOW	SELENOW
ACE	ACE
VMO1	VMO1
CTSV	CTSL
HTR7L	LOC101791695
HTR6	HTR6
SCRT2	SCRT2
FAP	LOC101799623
PRORSD1P	LOC101801977
PTCHD4	LOC140002263
COX6C	COX6C
OST4	OST4
DPM2	DPM2
MRPL23	MRPL23
CFAP36	CFAP36
SYPL1	SYPL1
PDDC1	GATD1
OIP5	OIP5
RAX	RAX
MPZL3	MPZL3
MRPS18C	MRPS18C
ATP6AP1	ATP6AP1
LOC420860	LOC113842743
COX19	COX19
ALKBH5	ALKBH5
MARS	MARS1
VPS16	VPS16
FGA	FGA
ATG4A	LOC101791479
CDCA9	LOC101794145
RRP7A	RRP7A
LRRC20	LRRC20
ATP6V0E2	ATP6V0E2
CA3B	LOC101802933
RARRES2	RARRES2
SPIA1	LOC101803775
REG4	REG4
GRAPL	GRAP
C1orf52	C8H1orf52
ATP5S	DMAC2L
FAM183A	CFAP144
PDZK1IP1	PDZK1IP1
HSPB11	IFT25
DYNLRB2	DYNLRB2
COMMD4	COMMD4
CETN1	LOC101794531
APRT	APRT
ATOX1	ATOX1
ORC6	ORC6
TEX30	TEX30
C1GALT1C1	C1GALT1C1
KRT40	LOC101790951
ARMC7	ARMC7
C17orf67	C19H17orf67
CHTF18	CHTF18
CDCA3	CDCA3
DTYMK	DTYMK
LRTOMT	LOC119716805
NME3	NME3
IQCC	IQCC
OTX5	LOC140000269
SMIM3	SMIM3
NDUFA2	NDUFA2
SLN	SLN
SVIP	SVIP
HOXA9	HOXA9
TMED11	LOC101804810
HYAL6	LOC101799098
POLDIP2	POLDIP2
GPR119	GPR119
C9ORF152	C2H9orf152
PADI1	LOC101794588
SLAMF8	LOC119713850
MRC1	MRC1
LOC107049024	LOC119713895
FBLN7	FBLN7
CYP2AB4	LOC101801861
CYP2AC2	LOC101796420
CYP2AC7	LOC101804090
LOC107055293	EPOP
SELENOP2	LOC101803314
GINS4	GINS4
LOC107056139	LOC101798651
LOC117654556	LOC106020497
CASP14	LOC101800944
PPP1R2	PPP1R2
LOC769174	LOC101792424
LOC378902	LOC101799861
TSC22D4	TSC22D3
TG	TG
CD59	LOC101804565
GPR75	GPR75
MS4A4A	LOC113843774
STOML2	STOML2
FBXL22	FBXL22
ATP6AP1L	LOC101791256
SLC41A1	SLC41A1
RAB18L	LOC101803788
SPNS2	LOC101791126
EVI2B	EVI2B
CYSTM1	CYSTM1
RPL22	RPL22
VKORC1	VKORC1
FTSJ3	FTSJ3
BPIFB2	BPIFB2
SYNCRIP	SYNCRIP
MAGOH	MAGOH
MNX1	MNX1
GSTT1	LOC101797313
ORAI1	LOC101802702
GLIPR1	LOC101791991
DSCAM	DSCAM
SPCS1	SPCS1
NDUFC2	NDUFC2
HOXD1	LOC113844207
VTN	VTN
P2RX3	P2RX3
OASL	LOC101800895
ARL10	ARL10
GATA4	GATA4
UCP3	LOC101794508
NHLH1	NHLH1
ACTA1	ACTA1
RPL36	RPL36
LAMB2	LAMB2
BARX1	BARX1
CDKN1B	CDKN1B
PTGDS	LOC101800035
RHBG	RHBG
FANCG	FANCG
THY1	THY1
ZP3	LOC101797788
OCM1	LOC101803770
CCDC80	CCDC80
CCL20	CCL20
ST3GAL2	ST3GAL2
AXIN2	AXIN2
BCL2L10	BCL2L10
MYH7B	MYH7B
ID3	ID3
TRAIL-LIKE	LOC101800948
IL2RA	IL2RA
LOC395368	LOC139998532
SNCB	SNCB
CFC1	LOC101799976
RDH5	RDH5
MARCO	MARCO
NCAN	NCAN
C11orf58	C5H11orf58
MYH15	LOC101802274
NUDT16L1	NUDT16L1
PSAP	LOC101796401
GPRIN2	GPRIN2
PGC	LOC101794692
TRHR	TRHR
LHCGR	LOC101803098
PPP1RL	LOC101791756
TPH1	TPH1
JAK3	JAK3
KRT24	LOC101791758
PADI3	LOC101794412
XCL1	LOC101802825
UBA52	UBA52
CAPN2	LOC101799042
GSTM2	LOC119713930
HMGN1	HMGN1
COL6A1	COL6A1
CYP1A2	LOC101791001
LOC396098	LOC101794304
CRYBB3	CRYBB3
E2F1	E2F1
VLDLR	VLDLR
RBP4A	RBP4
TP53	TP53
LDHA	LOC101799210
SPCS3	SPCS3
CALB2	CALB2
ARF5	ARF5
GSC	GSC
BGLAP	BGLAP
FGF2	FGF2
PLAU	PLAU
LECT2	LOC101795398
TAGLN	TAGLN
CST3	LOC101796096
APOA1	APOA1
NAT	LOC101791654
LGALS1B	LOC101790677
ZPBP2	ZPBP2
PIT54	LOC101803976
LAS1L	LAS1L
C9orf40	CZH9orf40
C9orf64	QNG1
AADACL3A	LOC119713441
TMEM167B	TMEM167B
ATP5J	ATP5PF
TTC9	TTC9
GABARAPL1	GABARAPL1
RWDD4	RWDD4
VSIR	VSIR
GUK1	GUK1
IKBIP	IKBIP
ATP5H	ATP5PD
EXOC3L1	EXOC3L1
DEF8	DEF8
NDUFS8	NDUFS8
LOC769554	LOC101796380
SLC2A11L4	LOC101804037
WTIP	WTIP
SLC2A13	SLC2A13
LOC769755	LOC110354169
AIPL1	LOC101801601
FAM167A	FAM167A
MSMP	MSMP
SLC27A6	LOC101799927
RASL10B	RASL10B
C9orf85	CZH9orf85
VAMP4	VAMP4
GIF	CBLIF
PODXL2	PODXL2
RPS25	RPS25
MSLNL	LOC110354195
RGS7BP	RGS7BP
TGM6	LOC101792660
C1QTNF9B	LOC101800321
EPHA2	EPHA2
LRPPRC	LRPPRC
PIPOX	PIPOX
LOC771972	LOC113845717
AGPAT2	AGPAT2
SDCCAG3	ENTR1
C17orf64	CHCT1
SLC51AL	LOC101796588
LOC100859837	LOC101795541
ASTE1	ASTE1
OPRM1	OPRM1
XKR5	XKR5
SLC6A14	SLC6A14
ALDH3B1	LOC101796911
LMO1	LMO1
SIX5	LOC101799235
FOXI2	FOXI2
CCNJ	CCNJ
COX5A	COX5A
HSD11B2	HSD11B2
LOC100857843	LOC101804141
LMAN2	LMAN2
LOC100857632	LOC101801165
TRIM47	TRIM47
LOC100859449	LOC119713128
DHRS13	DHRS13
AADACL3C	LOC113839714
BMP8A	BMP8A
ZPR1	ZPR1
SCNM1	SCNM1
FAM63A	MINDY1
RFX5	RFX5
PGAP3	PGAP3
MPV17L2	MPV17L2
LOC425795	LOC101796579
CSPG4B	LOC101801163
IL23A	IL23A
LOC101751878	LOC101796759
AP1B1	AP1B1
LOC428499	LOC101802880
GRM1	GRM1
CRISP2	LOC101797701
LOC422051	LOC101790579
LRRC66	LRRC66
GPR132	GPR132
C14orf105	CCDC198
GPR148	GPR148
RXFP3	RXFP3
LIN7A	LIN7A
GPRC5A	LOC101799094
TEX33	CIMIP4
BPIFCB	LOC101789816
TMEM213	TMEM213
BCL2L14	BCL2L14
LIPI	LIPI
CLDN8	LOC101802171
MSL3	MSL3
LOC101750509	LOC101800311
LOC101747500	LOC101794111
CEP295	CEP295
IDI2	IDI1
EFCAB1	CLXN
STMND1	STMND1
C2H8orf76	C2H8orf76
TIGD5	TIGD5
EML6	EML6
RBM41	RBM41
LOC101748744	LOC101793647
KCTD12B	LOC106014693
LOC422442	LOC113843568
CDKN2AIP	CDKN2AIP
TSPAN32	TSPAN32
CWF19L1	CWF19L1
PROM1L	LOC101798815
CCDC173L	LOC101804446
LOC101751271	LOC113844379
SPATA46	SPATA46
RTP2	LOC101804581
C15orf39	C11H15orf39
CA5A	CA5A
GPR62	GPR62
LOC101751348	LOC106019577
ECSCR	ECSCR
LOC101749502	LOC101798162
PM5	LOC101803902
KNOP1	KNOP1
CLDN9	LOC101790465
GAS2L2	GAS2L2
PCMTD2	PCMTD2
SPINT4	LOC113845723
KAZN	KAZN
KRT9	LOC101795309
PRAM1	PRAM1
NR2F1	NR2F1
HEMGN	HEMGN
ATG12	ATG12
SBK3	LOC119716995
LOC101747554	LOC113842960
ECH1	ECH1
CD63	CD63
PRPH	PRPH
KRT8	KRT8
SSH3	SSH3
SLC16A13	LOC113840468
G6PC3	G6PC3
LOC107049580	BOLA1
ATG101	ATG101
SPRYD3	SPRYD3
NPM2	NPM2
LOC101748353	C33H19orf47
LOC100858995	LOC101795581
PLA2G3	PLA2G3
GPR25	LOC113845354
MLEC	MLEC
PRR14L	PRR14L
CCDC63	CCDC63
C22orf39	C16H22orf39
KDM1B	KDM1B
LOC421935	CYS1
UGT2A1	LOC101796668
USP38	USP38
ATR	ATR
LOC107051857	HES6
MTERF4	MTERF4
MYO7B	MYO7B
LOC107051909	LOC101796621
LOC101749460	LOC101798654
SUPT20H	SUPT20H
USP12-like	LOC101794906
FAM155B	NALF2
APLN	APLN
GPC4	GPC4
CD99L2	CD99L2
ACOD1L	LOC101794721
PAOX	PAOX
LOC770870	LOC101801843
NRN1L	NRN1L
LDHD	LDHD
MLKL	MLKL
CACNA1B	LOC101794161
FUT7	FUT7
LOC417113	LOC101799268
FAM20A	FAM20A
CR1	SVEP1
ARFIP2	ARFIP2
CNGA4	CNGA4
KLHL35	KLHL35
RNF169	RNF169
FASTK	FASTK
KCNH2	KCNH2
RHEB	RHEB
SCN5A	SCN5A
MIOX	MIOX
UBE2E2	UBE2E2
MACC1	MACC1
TMEFF1	TMEFF1
LOC101749664	LOC113842822
LOC421108	LOC101805170
ADHFE1	ADHFE1
CSMD3	CSMD3
BBS10	BBS10
LOC776273	LOC101792010
CNPY3	CNPY3
HECA	HECA
FRMD1	FRMD1
COQ3	COQ3
GTF3C2	GTF3C2
KHK	KHK
ADGRF4	LOC101803951
ANKRD66	ANKRD66
CD6	CD6
TMEM109	TMEM109
LOC428824	LOC101803082
EPS8L2	EPS8L2
LOC425462	LOC101793943
LOC423119	LOC101789732
RTN4RL2	RTN4RL2
ARSA	ARSA
PLA2G4EL6	LOC101794764
LOC100859230	LOC101804914
RPS6KL1	RPS6KL1
LOC107049127	LOC101791174
SLC22A15L	LOC101804258
KCNMA1	KCNMA1
SPOCK2	SPOCK2
ANTXRL	ANTXRL
ANXA8L1	LOC101794808
ADAP1L	LOC101805062
FAM20CL	LOC113842652
LOC107053690	C6H10orf95
PPRC1	PPRC1
ABCC2	ABCC2
CUZD1	LOC113843994
PNLIPRP3	LOC101801336
UGT1A1	LOC101802378
PPP1R1C	PPP1R1C
MYO10L	LOC101801872
C1QL2	C1QL2
TGFBR2L	LOC101801641
PTPRN	PTPRN
LOC424199	LOC119717510
NR4A2	NR4A2
PHPT1L	LOC101795226
LOC424727	LOC139999895
SI	SI
UMOD	LOC101795142
SLC6A2	SLC6A2
IRX5	IRX5
CYBA	CYBA
VPS9D1	VPS9D1
RASSF1	RASSF1
HYAL1	HYAL1
ACY1	ACY1
NDUFAF3	NDUFAF3
CRELD1	CRELD1
PTMS	PTMS
GPRIN1	GPRIN1
RGS14	RGS14
ADRA2BL2	LOC113845158
UNC5A	UNC5A
FNDC9	FNDC9
MYOT	MYOT
GSPT2	GSPT1
SNRNP25	SNRNP25
C16orf89	C15H16orf89
VRK3	VRK3
NDUFB4	NDUFB4
CCDC57	CCDC57
MCHR1	LOC101803483
LOC124416951	RSAD1
POM121C	LOC101804691
SCARF1	SCARF1
SEZ6	SEZ6
TUSC5	LOC106018216
MRM3	MRM3
LOC419276	LOC113839663
REM1	REM1
SOX12	SOX12
DNTTIP1	DNTTIP1
BPIL3	LOC101793871
TNFRSF9	TNFRSF9
LOC107049018	FAAP20
ACAP3	ACAP3
AADACL3B	LOC113839715
ZMYND12	ZMYND12
TRIM62	TRIM62
NT5DC4	LOC119713489
AEBP1	AEBP1
LOC100857883	LOC101799683
TMEM218	TMEM218
SC5D	SC5D
PTS	PTS
PIH1D2	PIH1D2
MRPL24	MRPL24
PEAR1	PEAR1
PYGO2	PYGO2
JTB	JTB
TARS2	TARS2
ECM1	ECM1
FRMD4A	FRMD4A
SYPL2	SYPL2
LOC107055157	LOC119713946
LOC768786	LOC119713923
GOLT1A	GOLT1A
MRC2	MRC2
TBKBP1	TBKBP1
PRR15L	PRR15L
DAPK3	DAPK3
NMRK2	NMRK2
BTBD2	BTBD2
GADD45B	GADD45B
GAMT	GAMT
PRSS57	LOC119714216
TMEM59L	TMEM59L
RAB3A	RAB3A
ACVRL1	ACVRL1
GRASP	TAMALIN
LOC100857335	LOC119714612
TARBP2	TARBP2
COPZ1	COPZ2
LOC768978	LOC113839972
LOC426897	LOC101800533
ZNF628	ZNF628
CBS	LOC101797717
LOC101748521	MSH5
LOC429518	LOC101803899
LOC107056278	LOC140002531
LOC107056280	LOC119716903
OSBP	OSBP
USP9Y	USP9X
ANKRD39	ANKRD39
LOC107049068	DUSP11
QPCTL	QPCTL
C8G	C8G
LOC427799	LOC101802295
TBC1D24L	LOC101796952
A2M	A2M
R3HCC1	R3HCC1
LOC107049953	SEMA4C
ASAP3	ASAP3
TCEA3	TCEA3
MAP3K6	MAP3K6
CNR2	CNR2
LOC112530287	LOC119713790
S100A13	S100A13
LOC107049672	ENTREP3
LOC101748017	SV2A
PLA2G10L	LOC101798383
LOC101748755	LOC113839749
FAM72A	FAM72A
LOC121106446	LOC101790937
PPP1R19B	PPP1R9B
RPRML	RPRML
GTPBP3	GTPBP3
PLD3	PLD3
TBCB	TBCB
LOC431003	LOC101805329
NAB2	NAB2
LOC107055419	LOC110354602
LOC107049895	LETMD1
PPP1R1A	PPP1R1A
FKBP11	FKBP11
ARX	ARX
LOC431250	LOC101789851
N4BP2L1	N4BP2L1
LOC107057170	NOS3
PTPN23	PTPN23
LOC107051671	LOC101799158
DNMT3A	DNMT3A
SLC30A3	SLC30A3
NDUFAF7	NDUFAF7
GCNA	GCNA
LOC101747820	LOC113843459
TRMT12	TRMT12
RAB15	RAB15
MRGPRH	LOC101797500
LRR1	LRR1
LOC771422	LOC101793181
RPGR	LOC101793936
GALNT5	GALNT5
DLX2	DLX2
PTCH2	PTCH2
PLK3	PLK3
DPH5	DPH5
PIGZ	PIGZ
GCOG8	COG8
LOC417937	LOC101803785
U2AF1	U2AF1
CFAP100	CFAP100
LOC121106697	GRXCR2
LOC769726	LOC101803926
IL25	IL17B
CCDC69	CCDC69
LOC121106854	LOC119713545
CARD8	LOC119714638
RNF215	RNF215
EP400	EP400
MMAB	MMAB
HPS4	HPS4
EVPL	EVPL
LOC422075	LOC119713184
CCDC42	CCDC42
CCDC183	CCDC183
SUMF2	SUMF2
RILP	RILP
C20orf195	FNDC11
ARHGEF7L	LOC101791564
ARID5A	ARID5A
TMEM35B	TMEM35B
TMEM234	TMEM234
RAB42	LOC113839793
CTGFL	LOC106019797
TMPRSS5	TMPRSS5
LOC101748751	VSIG10L2
LOC101749220	LOC106020456
LOC101749531	IQGAP3
MTMR11	MTMR11
POLR3GL	POLR3GL
SLAMF1	LOC119713782
IGSF9	IGSF9
LYSMD1	LYSMD1
AHCYL1	AHCYL1
LOC121107612	LOC119713994
GASTL	LOC101792780
GUCY2D	GUCY2F
PDE2A	PDE2A
GPR179	GPR179
KCNH4	KCNH4
FAM171A2	FAM171A2
LOC121106465	PRR29
MYO5B	LOC101803079
LOC428319	LOC106015769
LOC428322	LOC101804150
GIPC3	GIPC3
SFMBT2	SFMBT2
LOC107050028	ADCY6
ANKRD33	ANKRD33
MAP3K12	MAP3K12
LOC107049666	ITGB7
LOC107049257	TROAP
KRT18	KRT18
BCDIN3D	LOC101798288
NCKAP5L	NCKAP5L
ESPL1	ESPL1
PSME1	PSME1
LOC101748630	ZNF668
LOC121108152	TACO1
LOC430910	LOC101790838
LRRC70	LRRC70
SHB	SHB
GZMK	LOC101800784
ERMP1	ERMP1
C5orf51	RIMOC1
